"video_id","url","title","channel","upload_date","duration_s","nmp_system","singer_count_est","format","why_included","why_not_post_produced"
"93zVg7wN-Lo","https://youtu.be/93zVg7wN-Lo","London City Voices — small group sings Let Your Love Flow LIVE on Jamulus/Zoom","London City Voices Choir","2021-01-29","215","Jamulus+Zoom","8","live","Small group in separate tiles singing 'LIVE on Jamulus/Zoom'; part of LCV series demonstrating hybrid live performance.","Experiment framing with no mention of editing; transient smearing on consonant attacks audible."
"HUuUAOb2n8g","https://www.youtube.com/watch?v=HUuUAOb2n8g","Zoom Choir Rehearsal 5.20.2020","Rick McCollum","2020-05-22","2438","Zoom","30","rehearsal","Full church-choir Zoom rehearsal; live warm-ups, sectional coaching, score-sharing demonstrate high-latency control group conditions.","Extended real-time session with banter, tech issues, and explicit contrast to separately recorded virtual-choir videos discussed during the rehearsal."
"NCXnQAMq0pY","https://youtu.be/NCXnQAMq0pY","Gewandhaus Choir — SoundJack Online Rehearsal Recording 2 (12.2.21)","Alexander Carôt","2021-02-12","46","SoundJack","16","rehearsal","Second raw Gewandhaus SoundJack capture from the same session, varying rehearsal parameters.","Start-stop rehearsal mechanics and raw UDP transmission glitches visible in the audio stream; sub-2-minute clip too short for DAW editing to be plausible."
"QeeDraeQwYo","https://youtu.be/QeeDraeQwYo","Gewandhaus Choir — SoundJack Online Rehearsal Recording 1 (12.2.21)","Alexander Carôt","2021-02-12","82","SoundJack","16","rehearsal","Developer-uploaded raw SoundJack recording of a professional German choir testing the platform; authoritative provenance.","Raw unedited count-ins, environmental noise, dry microphone feeds with no spatial processing; typical of a developer test capture."
"VJ3TLIFHBGw","https://www.youtube.com/watch?v=VJ3TLIFHBGw","SDS 1st Jamulus Livestream Concert","Six Degree Singers","2021-05-08","2825","Jamulus","30","live","Director explains at the start that ~30 singers are performing live from separate homes; Jamulus for audio, Zoom for video.","Director discusses server overload mid-concert during live Q&A; one-take livestream framing throughout with no editing claimed."
"VlOB9_-08pw","https://www.youtube.com/watch?v=VlOB9_-08pw","384 Panting for Heaven — Philly Sacred Harp Jamulus","Rachel Hall","2021-02-02","141","Jamulus","20","live","Sacred Harp group, ~20 singers in home tiles; description confirms 'singing online using Jamulus, January 28, 2021'.","Uploaded as a direct Jamulus session capture with no mention of editing; natural Sacred Harp vocal blend without artificial reverb or alignment."
"YiUJM6f8YpQ","https://youtu.be/YiUJM6f8YpQ","London City Voices — Jamulus & Zoom Rehearsal","London City Voices Choir","2021-01-29","2094","Jamulus","40","rehearsal","Supervisor seed example; 40-singer Jamulus rehearsal with Zoom video overlay showing multi-part choir.","Description explicitly states 'This audio is not edited to put everyone in time — this is how it sounded to us'; only global AV sync nudge applied, not vocal comping."
"Z-cH7j5iB3k","https://youtu.be/Z-cH7j5iB3k","Here's what zoom choral singing actually sounds like","St. John's West Hartford","2021-03-05","180","Zoom","15","rehearsal","Explicitly uploaded to demonstrate what native Zoom choral singing sounds like; 15 singers, all unmuted simultaneously.","Complete rhythmic and harmonic dissolution from Zoom's 150ms+ latency is the entire point of the video; impossible to manufacture via editing."
"ZDZ98tl2wAQ","https://youtu.be/ZDZ98tl2wAQ","Sing for Ukraine — Ukraine National Anthem (A cappella, Jamulus)","Jamulus Chamber(s) Choir / Heléne Blixt","2022-03-07","150","Jamulus","60","live","60 international singers simultaneously on Jamulus; demonstrates upper scalability limits of server-centric NMP for large choral forces.","Minor latency clustering and slight temporal smearing audible where groups of singers drag behind the conductor's pulse; inconsistent with post-produced alignment."
"ZKthfLPWBCQ","https://youtu.be/ZKthfLPWBCQ","London City Voices — small group sing Stacy's Mom LIVE over Jamulus and Zoom","London City Voices Choir","2021-01-29","200","Jamulus","6","live","Part of LCV experiment series; 6 singers in Jamulus grid singing LIVE as described in the video description.","Description states 'experiment to see if we could use Jamulus with Zoom for live performance'; occasional audio dropouts confirm real-time unedited capture."
