dataset,piece_id,unit,n_singers,n_pairs,duration_sec,mean_coupling,max_coupling,min_coupling,singers_extracted,singers_reused
choralsynth,08_Anima_nostra,part,5,10,158.85,-0.0033,0.4615,-0.1809,0,5
choralsynth,136._Benedict_Regius_Cantabant_Sancti_canticum_a_8,part,8,28,205.87,0.2136,0.8984,-0.3079,8,0
choralsynth,140._Leoni%2C_L._Audivi_vocem_Angelorum_a_8,part,8,28,201.92,0.1425,0.8736,-0.4046,8,0
choralsynth,Hail_to_the_Chief_Leslie,part,5,10,108.53,0.7492,0.906,0.535,5,0
choralsynth,Haydnmesse_4stimmig,part,4,6,200.88,0.8552,0.8986,0.7861,4,0
choralsynth,HempCW-JustJudge,part,5,10,61.93,0.3584,0.8014,-0.3422,5,0
choralsynth,Honour_and_majesty_are_before_him,part,5,10,63.83,0.4202,0.5795,0.2274,5,0
choralsynth,Hunting_song_Macfarren_WC,part,5,10,71.54,0.6036,0.8243,0.3496,5,0
choralsynth,I_am_the_bread,part,4,6,41.87,0.8169,0.8531,0.7807,4,0
choralsynth,I_am_the_resurrection_Tomkins,part,4,6,56.84,0.5531,0.7667,0.3989,4,0
choralsynth,I_know_that_my_Redeemer_Tomkins,part,4,6,70.33,0.3462,0.4819,0.2557,4,0
choralsynth,I_know_whom_I_have_believed_-_MacFarren,part,5,10,62.86,0.8087,0.913,0.6887,5,0
choralsynth,I_will_recount,part,4,6,37.36,0.4039,0.8407,-0.2209,4,0
choralsynth,If_I_had_but_two_little_wings_Parry,part,5,10,134.51,0.6476,0.8908,0.3489,5,0
choralsynth,If_ye_then_be_risen_with_Christ_Foster,part,3,3,287.28,0.4937,0.6335,0.4046,3,0
choralsynth,If_you_love_me,part,4,6,46.39,0.5799,0.7109,0.4174,4,0
choralsynth,India-Circumdederunt_me,part,5,10,323.64,0.2152,0.3415,0.1267,5,0
choralsynth,India-Deus%2C_Deus_meus_respice,part,4,6,253.35,0.1393,0.2627,-0.0422,4,0
choralsynth,India-Domine_Deus_vite_meae,part,5,10,222.03,0.2143,0.3391,0.0519,5,0
choralsynth,India-Domine_prevenisti_eum,part,5,10,146.03,0.2458,0.3573,0.1043,5,0
