dataset,piece_id,unit,n_singers,n_pairs,duration_sec,mean_coupling,max_coupling,min_coupling,singers_extracted,singers_reused
esmuc,DG_FT_take1,singer,12,66,173.17,0.6787,0.8894,0.457,12,0
esmuc,DG_FT_take2,singer,12,66,169.67,0.6297,0.8685,0.398,12,0
esmuc,DG_FT_take3,singer,12,66,166.37,0.6516,0.8678,0.3267,12,0
esmuc,DG_FT_take4,singer,12,66,167.67,0.6469,0.8736,0.3675,12,0
esmuc,DH1_FT_take1,singer,12,66,47.51,0.5486,0.9002,0.1285,12,0
esmuc,DH2_FT_take1,singer,12,66,117.1,0.3754,0.7704,-0.0776,12,0
esmuc,SC1_FT_take1,singer,12,66,75.09,0.5906,0.9212,0.2735,12,0
esmuc,SC1_FT_take2,singer,12,66,77.76,0.6025,0.9034,0.2412,12,0
esmuc,SC1_FT_take3,singer,12,66,79.53,0.6168,0.939,0.2855,12,0
esmuc,SC2_FT_take1,singer,12,66,29.65,0.5742,0.8835,-0.1942,12,0
esmuc,SC2_FT_take2,singer,12,66,28.28,0.5574,0.8619,-0.268,12,0
esmuc,SC2_FT_take3,singer,12,66,27.17,0.5727,0.844,-0.2321,12,0
esmuc,SC3_FT_take1,singer,12,66,55.36,0.6838,0.8915,0.3677,12,0
esmuc,SC3_FT_take2,singer,12,66,54.33,0.6734,0.8805,0.3878,12,0
esmuc,WU_FT_take1,singer,12,66,51.55,0.7957,0.925,0.5173,12,0
esmuc,WU_FT_take2,singer,12,66,85.24,0.6215,0.9003,0.1915,12,0
