video_id,singer_count_est,pose_coverage,analysis_window_s,usable_audio,r_obs,best_lag_s,p_null,significant
93zVg7wN-Lo,8,0.9133,71.8,True,0.1228,0.4,0.0809,False
DLdFR7m1thI,35,0.93,71.8,True,0.0501,-0.1,0.6743,False
HUuUAOb2n8g,30,0.9033,71.8,True,0.0683,-0.9,0.4985,False
KJruTaWTWlY,25,0.5233,71.8,True,-0.0002,-1.9,0.7283,False
VJ3TLIFHBGw,30,0.845,59.8,False,,,,False
VsnvueTan4I,30,0.6667,71.8,True,0.0205,1.4,0.8521,False
YiUJM6f8YpQ,40,0.9533,71.8,True,0.0379,1.6,0.6174,False
Z-cH7j5iB3k,15,0.9405,44.2,True,0.1161,-2.0,0.2537,False
ZKthfLPWBCQ,6,0.985,71.8,True,0.1051,0.8,0.1319,False
isIV1XsKCgQ,45,0.8333,71.8,True,-0.0101,1.1,0.977,False
jui2O9xfAGo,15,0.98,59.8,True,0.0716,1.3,0.5425,False
ouFyQKszE_Y,12,0.795,71.2,True,0.1557,1.2,0.0799,False
q1rLPIsIPZI,35,0.9433,71.8,True,0.0473,1.8,0.6803,False
s3ZVr6ki2vw,35,0.7117,71.8,True,0.0603,-2.0,0.5295,False
uO2C6f7iF-M,8,0.9883,71.8,True,0.1078,-0.6,0.023,True
w0ywMP8mOc4,24,0.7817,59.8,True,0.0726,0.2,0.3347,False
zOAHHX6A8p0,34,0.5467,71.8,True,0.096,0.0,0.2907,False
zp1qLCckgLk,10,0.9683,71.8,True,-0.0355,0.2,0.8951,False
