dataset,piece,unit,n_singers,n_edges,density,obs_gini_outdeg,null_gini_mean,null_gini_sd,p_more_centralized
choralsynth,08_Anima_nostra,part,5,2,0.1,0.8,0.6306,0.072,0.1538
choralsynth,136._Benedict_Regius_Cantabant_Sancti_canticum_a_8,part,8,51,0.911,0.0564,0.0544,0.0109,0.7692
choralsynth,140._Leoni%2C_L._Audivi_vocem_Angelorum_a_8,part,8,56,1.0,0.0,0.0,0.0,1.0
choralsynth,Hail_to_the_Chief_Leslie,part,5,15,0.75,0.1067,0.1309,0.048,0.9381
choralsynth,Haydnmesse_4stimmig,part,4,11,0.917,0.0682,0.0682,0.0,1.0
choralsynth,HempCW-JustJudge,part,5,12,0.6,0.2333,0.1815,0.0664,0.4016
choralsynth,Honour_and_majesty_are_before_him,part,5,15,0.75,0.1067,0.1258,0.0504,0.9171
choralsynth,Hunting_song_Macfarren_WC,part,5,19,0.95,0.0421,0.0421,0.0,1.0
choralsynth,I_am_the_bread,part,4,8,0.667,0.1875,0.1784,0.0803,0.8621
choralsynth,I_am_the_resurrection_Tomkins,part,4,8,0.667,0.1875,0.1737,0.0829,0.8432
choralsynth,I_know_that_my_Redeemer_Tomkins,part,4,2,0.167,0.5,0.5457,0.0967,1.0
choralsynth,I_know_whom_I_have_believed_-_MacFarren,part,5,20,1.0,0.0,0.0,0.0,1.0
choralsynth,I_will_recount,part,4,5,0.417,0.15,0.2954,0.1323,1.0
choralsynth,If_I_had_but_two_little_wings_Parry,part,5,20,1.0,0.0,0.0,0.0,1.0
choralsynth,If_ye_then_be_risen_with_Christ_Foster,part,3,6,1.0,0.0,0.0,0.0,1.0
choralsynth,If_you_love_me,part,4,8,0.667,0.0,0.1694,0.0847,1.0
choralsynth,India-Circumdederunt_me,part,5,11,0.55,0.2182,0.207,0.0777,0.4426
choralsynth,India-Deus%2C_Deus_meus_respice,part,4,2,0.167,0.5,0.5435,0.0948,1.0
choralsynth,India-Domine_Deus_vite_meae,part,5,7,0.35,0.4571,0.3059,0.1138,0.1189
choralsynth,India-Domine_prevenisti_eum,part,5,13,0.65,0.2462,0.1638,0.0608,0.1259
dagstuhl,LI_FullChoir_Take01,singer,8,55,0.982,0.0159,0.0159,0.0,1.0
dagstuhl,LI_QuartetA_Take02,singer,4,11,0.917,0.0682,0.0682,0.0,1.0
dagstuhl,LI_QuartetB_Take01,singer,4,12,1.0,0.0,0.0,0.0,1.0
dagstuhl,TP_FullChoir_Take01,singer,8,41,0.732,0.1982,0.1113,0.0298,0.004
dagstuhl,TP_QuartetA_Take01,singer,4,11,0.917,0.0682,0.0682,0.0,1.0
esmuc,DG_FT_take1,singer,12,132,1.0,0.0,0.0,0.0,1.0
esmuc,SC1_FT_take1,singer,12,70,0.53,0.1619,0.1463,0.0319,0.3267
esmuc,WU_FT_take1,singer,12,82,0.621,0.1707,0.1218,0.0267,0.036
