dataset,piece,unit,level,delay_ms,jitter_sd_ms,dropout_rate,n_singers,A_mean,onset_sync,N_density,E_mean,n_sig_edges,max_eigen_centrality,gini_out_degree,null_mean,p_null
dagstuhl,LI_QuartetA_Take02,singer,clean,0.0,0.0,0.0,4,0.572,0.3049,0.9167,0.7443,11,0.5318,0.0682,0.5731,0.0
dagstuhl,LI_QuartetA_Take02,singer,ept,25.0,10.0,0.0,4,0.5702,0.2271,1.0,0.7851,12,0.5,0.0,0.6148,0.0
dagstuhl,LI_QuartetA_Take02,singer,jamulus_lan,47.0,46.0,0.01,4,0.5575,0.1969,1.0,0.7787,12,0.5,0.0,0.6144,0.0
dagstuhl,LI_QuartetA_Take02,singer,jamulus_wan,83.0,57.0,0.03,4,0.5409,0.1579,1.0,0.7705,12,0.5,0.0,0.6146,0.0
dagstuhl,LI_QuartetA_Take02,singer,zoom,150.0,80.0,0.08,4,0.5207,0.1235,1.0,0.7603,12,0.5,0.0,0.6144,0.0
dagstuhl,LI_QuartetB_Take01,singer,clean,0.0,0.0,0.0,4,0.6078,0.3318,1.0,0.8039,12,0.5,0.0,0.6157,0.0
dagstuhl,LI_QuartetB_Take01,singer,ept,25.0,10.0,0.0,4,0.6092,0.2462,1.0,0.8046,12,0.5,0.0,0.6157,0.0
dagstuhl,LI_QuartetB_Take01,singer,jamulus_lan,47.0,46.0,0.01,4,0.5965,0.1885,1.0,0.7982,12,0.5,0.0,0.6156,0.0
dagstuhl,LI_QuartetB_Take01,singer,jamulus_wan,83.0,57.0,0.03,4,0.5796,0.1441,1.0,0.7898,12,0.5,0.0,0.6155,0.0
dagstuhl,LI_QuartetB_Take01,singer,zoom,150.0,80.0,0.08,4,0.555,0.1339,1.0,0.7775,12,0.5,0.0,0.6151,0.0
dagstuhl,LI_FullChoir_Take01,singer,clean,0.0,0.0,0.0,8,0.5615,0.3006,0.9643,0.7629,54,0.3647,0.0324,0.6005,0.0
dagstuhl,LI_FullChoir_Take01,singer,ept,25.0,10.0,0.0,8,0.559,0.2201,0.9821,0.7706,55,0.3589,0.0159,0.6093,0.0
dagstuhl,LI_FullChoir_Take01,singer,jamulus_lan,47.0,46.0,0.01,8,0.5486,0.1778,0.9821,0.7654,55,0.3589,0.0159,0.6091,0.0
dagstuhl,LI_FullChoir_Take01,singer,jamulus_wan,83.0,57.0,0.03,8,0.5378,0.1668,1.0,0.7689,56,0.3536,0.0,0.6181,0.0
dagstuhl,LI_FullChoir_Take01,singer,zoom,150.0,80.0,0.08,8,0.5231,0.1182,1.0,0.7615,56,0.3536,0.0,0.6183,0.0
dagstuhl,TP_QuartetA_Take01,singer,clean,0.0,0.0,0.0,4,0.4461,0.2478,0.9167,0.6814,11,0.5318,0.0682,0.5549,0.0
dagstuhl,TP_QuartetA_Take01,singer,ept,25.0,10.0,0.0,4,0.4471,0.2034,1.0,0.7235,12,0.5,0.0,0.5964,0.0
dagstuhl,TP_QuartetA_Take01,singer,jamulus_lan,47.0,46.0,0.01,4,0.4385,0.15,1.0,0.7193,12,0.5,0.0,0.5962,0.0
dagstuhl,TP_QuartetA_Take01,singer,jamulus_wan,83.0,57.0,0.03,4,0.4299,0.1032,1.0,0.715,12,0.5,0.0,0.5969,0.0
dagstuhl,TP_QuartetA_Take01,singer,zoom,150.0,80.0,0.08,4,0.4017,0.1256,0.9167,0.6592,11,0.5318,0.0682,0.5558,0.0
dagstuhl,TP_FullChoir_Take01,singer,clean,0.0,0.0,0.0,8,0.3832,0.2504,0.7857,0.5844,44,0.4214,0.1534,0.5023,0.0
dagstuhl,TP_FullChoir_Take01,singer,ept,25.0,10.0,0.0,8,0.3836,0.1992,0.75,0.5668,42,0.4389,0.125,0.4843,0.0
dagstuhl,TP_FullChoir_Take01,singer,jamulus_lan,47.0,46.0,0.01,8,0.3818,0.1425,0.7321,0.557,41,0.4085,0.1494,0.4753,0.0
dagstuhl,TP_FullChoir_Take01,singer,jamulus_wan,83.0,57.0,0.03,8,0.3741,0.1279,0.7679,0.571,43,0.4428,0.0843,0.4928,0.0
dagstuhl,TP_FullChoir_Take01,singer,zoom,150.0,80.0,0.08,8,0.3633,0.1173,0.8036,0.5834,45,0.4267,0.125,0.5103,0.0
choralsynth,08_Anima_nostra,part,clean,0.0,0.0,0.0,5,0.2422,0.1206,0.1,0.1711,2,0.7071,0.8,0.1598,0.01
choralsynth,08_Anima_nostra,part,ept,25.0,10.0,0.0,5,0.2419,0.0752,0.35,0.2959,7,0.7071,0.1714,0.2847,0.02
choralsynth,08_Anima_nostra,part,jamulus_lan,47.0,46.0,0.01,5,0.2391,0.0482,0.4,0.3196,8,0.7071,0.25,0.3096,0.03
choralsynth,08_Anima_nostra,part,jamulus_wan,83.0,57.0,0.03,5,0.2364,0.0329,0.25,0.2432,5,0.637,0.48,0.234,0.05
choralsynth,08_Anima_nostra,part,zoom,150.0,80.0,0.08,5,0.2333,0.0215,0.15,0.1916,3,0.5774,0.6667,0.1836,0.07
choralsynth,136._Benedict_Regius_Cantabant_Sancti_canticum_a_8,part,clean,0.0,0.0,0.0,8,0.4967,0.296,0.9286,0.7126,52,0.3751,0.0529,0.5666,0.0
choralsynth,136._Benedict_Regius_Cantabant_Sancti_canticum_a_8,part,ept,25.0,10.0,0.0,8,0.4945,0.2062,0.8571,0.6758,48,0.4026,0.0625,0.5309,0.0
choralsynth,136._Benedict_Regius_Cantabant_Sancti_canticum_a_8,part,jamulus_lan,47.0,46.0,0.01,8,0.481,0.1442,0.9107,0.6959,51,0.3817,0.0564,0.5571,0.0
choralsynth,136._Benedict_Regius_Cantabant_Sancti_canticum_a_8,part,jamulus_wan,83.0,57.0,0.03,8,0.4716,0.1257,0.9286,0.7001,52,0.3771,0.0625,0.5659,0.0
choralsynth,136._Benedict_Regius_Cantabant_Sancti_canticum_a_8,part,zoom,150.0,80.0,0.08,8,0.4542,0.075,0.9464,0.7003,53,0.3696,0.0354,0.5742,0.0
choralsynth,140._Leoni%2C_L._Audivi_vocem_Angelorum_a_8,part,clean,0.0,0.0,0.0,8,0.5289,0.2434,0.9821,0.7555,55,0.3589,0.0159,0.6124,0.0
choralsynth,140._Leoni%2C_L._Audivi_vocem_Angelorum_a_8,part,ept,25.0,10.0,0.0,8,0.5282,0.1759,0.9107,0.7194,51,0.3817,0.0368,0.5767,0.0
choralsynth,140._Leoni%2C_L._Audivi_vocem_Angelorum_a_8,part,jamulus_lan,47.0,46.0,0.01,8,0.5197,0.1137,1.0,0.7599,56,0.3536,0.0,0.6213,0.0
choralsynth,140._Leoni%2C_L._Audivi_vocem_Angelorum_a_8,part,jamulus_wan,83.0,57.0,0.03,8,0.5117,0.088,1.0,0.7558,56,0.3536,0.0,0.6211,0.0
choralsynth,140._Leoni%2C_L._Audivi_vocem_Angelorum_a_8,part,zoom,150.0,80.0,0.08,8,0.5014,0.0613,1.0,0.7507,56,0.3536,0.0,0.6204,0.0
choralsynth,Hail_to_the_Chief_Leslie,part,clean,0.0,0.0,0.0,5,0.6836,0.6241,0.85,0.7668,17,0.5033,0.0706,0.5078,0.0
choralsynth,Hail_to_the_Chief_Leslie,part,ept,25.0,10.0,0.0,5,0.662,0.4112,1.0,0.831,20,0.4472,0.0,0.5828,0.0
choralsynth,Hail_to_the_Chief_Leslie,part,jamulus_lan,47.0,46.0,0.01,5,0.5892,0.2204,0.95,0.7696,19,0.4649,0.0421,0.5566,0.0
choralsynth,Hail_to_the_Chief_Leslie,part,jamulus_wan,83.0,57.0,0.03,5,0.5405,0.1963,0.85,0.6952,17,0.4944,0.0706,0.5064,0.0
choralsynth,Hail_to_the_Chief_Leslie,part,zoom,150.0,80.0,0.08,5,0.4888,0.1246,1.0,0.7444,20,0.4472,0.0,0.5803,0.0
choralsynth,Haydnmesse_4stimmig,part,clean,0.0,0.0,0.0,4,0.8483,0.5704,0.8333,0.8408,10,0.5774,0.15,0.4971,0.0
choralsynth,Haydnmesse_4stimmig,part,ept,25.0,10.0,0.0,4,0.8339,0.3823,1.0,0.917,12,0.5,0.0,0.5805,0.0
choralsynth,Haydnmesse_4stimmig,part,jamulus_lan,47.0,46.0,0.01,4,0.7638,0.2304,1.0,0.8819,12,0.5,0.0,0.5793,0.0
