dataset,piece,unit,level,delay_ms,jitter_sd_ms,dropout_rate,n_singers,A_mean,onset_sync,N_density,E_mean,E_comb_mean,n_sig_edges,max_eigen_centrality,gini_out_degree,null_mean,p_null
choralsynth,08_Anima_nostra,part,clean,0.0,0.0,0.0,5,0.2422,0.1206,0.1,0.1711,0.142,2,0.8947,0.8,0.1594,0.01
choralsynth,08_Anima_nostra,part,ept,25.0,10.0,0.0,5,0.2419,0.0752,0.35,0.2959,0.2569,7,0.7071,0.1714,0.2843,0.011
choralsynth,08_Anima_nostra,part,jamulus_lan,47.0,46.0,0.01,5,0.2391,0.0482,0.35,0.2946,0.2497,7,0.7071,0.4,0.2843,0.0245
choralsynth,08_Anima_nostra,part,jamulus_wan,83.0,57.0,0.03,5,0.2364,0.0329,0.15,0.1932,0.1446,3,0.5774,0.6667,0.1837,0.0335
choralsynth,08_Anima_nostra,part,zoom,150.0,80.0,0.08,5,0.2333,0.0215,0.15,0.1916,0.1411,3,0.5774,0.6667,0.1833,0.0505
choralsynth,136._Benedict_Regius_Cantabant_Sancti_canticum_a_8,part,clean,0.0,0.0,0.0,8,0.4967,0.296,0.9107,0.7037,0.6557,51,0.3814,0.0564,0.5579,0.0
choralsynth,136._Benedict_Regius_Cantabant_Sancti_canticum_a_8,part,ept,25.0,10.0,0.0,8,0.4945,0.2062,0.7857,0.6401,0.5735,44,0.4322,0.1193,0.4953,0.0
choralsynth,136._Benedict_Regius_Cantabant_Sancti_canticum_a_8,part,jamulus_lan,47.0,46.0,0.01,8,0.481,0.1442,0.9286,0.7048,0.6288,52,0.377,0.0529,0.5662,0.0
choralsynth,136._Benedict_Regius_Cantabant_Sancti_canticum_a_8,part,jamulus_wan,83.0,57.0,0.03,8,0.4716,0.1257,0.8929,0.6823,0.6028,50,0.3875,0.075,0.5482,0.0
choralsynth,136._Benedict_Regius_Cantabant_Sancti_canticum_a_8,part,zoom,150.0,80.0,0.08,8,0.4542,0.075,0.9464,0.7003,0.6159,53,0.3702,0.0354,0.5743,0.0
choralsynth,140._Leoni%2C_L._Audivi_vocem_Angelorum_a_8,part,clean,0.0,0.0,0.0,8,0.5289,0.2434,1.0,0.7644,0.6973,56,0.3536,0.0,0.6216,0.0
choralsynth,140._Leoni%2C_L._Audivi_vocem_Angelorum_a_8,part,ept,25.0,10.0,0.0,8,0.5282,0.1759,0.8571,0.6926,0.6107,48,0.4007,0.0365,0.5501,0.0
choralsynth,140._Leoni%2C_L._Audivi_vocem_Angelorum_a_8,part,jamulus_lan,47.0,46.0,0.01,8,0.5197,0.1137,1.0,0.7599,0.6658,56,0.3536,0.0,0.6216,0.0
choralsynth,140._Leoni%2C_L._Audivi_vocem_Angelorum_a_8,part,jamulus_wan,83.0,57.0,0.03,8,0.5117,0.088,1.0,0.7558,0.6583,56,0.3536,0.0,0.6214,0.0
