video_id,url,title,channel,upload_date,duration_s,view_count,search_query,reason_kept
wi8aMULUgVg,https://www.youtube.com/watch?v=wi8aMULUgVg,Ensemble Rehearsals on Zoom,CrosbyBRM,,888.0,93249,zoom choir rehearsal live,"title mentions zoom + choir, 888.0s duration"
VsnvueTan4I,https://www.youtube.com/watch?v=VsnvueTan4I,Our First Virtual Choir Rehearsal using live video chat on ZOOM!,Roanoke Valley Children's Choir,,255.0,20950,zoom choir rehearsal live,"title mentions zoom + choir, 255.0s duration"
4zVezleGQqc,https://www.youtube.com/watch?v=4zVezleGQqc,Zoom Choir Rehearsal Tips,The Resourceful Church Musician,,485.0,3516,zoom choir rehearsal live,"title mentions zoom + choir, 485.0s duration"
5iK1ile-jR8,https://www.youtube.com/watch?v=5iK1ile-jR8,How To Improve Your Zoom Choir Rehearsals,Stewart Wallace,,402.0,440,zoom choir rehearsal live,"title mentions zoom + choir, 402.0s duration"
CQdg5_u3O4w,https://www.youtube.com/watch?v=CQdg5_u3O4w,Setting up zoom for a choir practice.,Mr B's Music Room,,674.0,169,zoom choir rehearsal live,"title mentions zoom + choir, 674.0s duration"
79uog1HZQLg,https://www.youtube.com/watch?v=79uog1HZQLg,ZOOM REHEARSAL #2: Playing Live With Metronome,David Mersiovsky,,167.0,12842,zoom choir rehearsal live,"title mentions zoom + choir, 167.0s duration"
hzB5bp3hvTw,https://www.youtube.com/watch?v=hzB5bp3hvTw,C Choir S2 ZOOM Sectional Rehearsal | RVCC Virtual Concert Preparations,Roanoke Valley Children's Choir,,1596.0,711,zoom choir rehearsal live,"title mentions zoom + choir, 1596.0s duration"
QNjirEbCbfg,https://www.youtube.com/watch?v=QNjirEbCbfg,Choral Artisans Moving to Zoom Rehearsals,The Resonance Initiative,,1126.0,92,zoom choir rehearsal live,"title mentions zoom + choir, 1126.0s duration"
DXbEHFp2998,https://www.youtube.com/watch?v=DXbEHFp2998,Example Zoom Worship Rehearsal,ACDA Western Region,,1060.0,160,zoom choir rehearsal live,"title mentions zoom + choir, 1060.0s duration"
e8QRSfLW-fM,https://www.youtube.com/watch?v=e8QRSfLW-fM,Choir Rehearsal on Zoom | Fail,Nicó Da'Centric ,,141.0,232,zoom choir rehearsal live,"title mentions zoom + choir, 141.0s duration"
jEHZ2IeJBWM,https://www.youtube.com/watch?v=jEHZ2IeJBWM,"Choirplayer, Zoom and the Limitations of Online Rehearsals",ChoirPlayer,,203.0,2625,zoom choir rehearsal live,"title mentions zoom + choir, 203.0s duration"
vJ-RQhWa8YU,https://www.youtube.com/watch?v=vJ-RQhWa8YU,"The Little Things - A 'Virtual Choir' Lockdown Song - Chris Lawry, Angela Cope & Amber Valley Voices",Moonhouse Music,,233.0,2353,zoom choir covid lockdown,"title mentions zoom + choir, 233.0s duration"
u014PX80B4o,https://www.youtube.com/watch?v=u014PX80B4o,Getting through COVID 19 1 song at a time Sing in the City Zoom chat with Brown Eyed Girl,Sing in the City Choir & Hanley and the Baird,,240.0,166,zoom choir covid lockdown,"title mentions zoom + choir, 240.0s duration"
UmBHBUFU3ZA,https://www.youtube.com/watch?v=UmBHBUFU3ZA,Down in the River to Pray | COVID-19 Virtual Choir Schola Diffusa,Damien Riehl,,210.0,352711,zoom choir covid lockdown,"title mentions zoom + choir, 210.0s duration"
